sll1677	5
sll0218	5
ssr1853	5
slr1413	5
speA	5
gmk	5
slr1783	5
sll0558	5
phdD	5
slr1787	5
fecB3	5
fecB2	5
slr1788	5
slr1789	5
crtE	5
mom72	5
slr0238	5
ctpB	5
mutT	5
rhnB	5
adk	5
sll1033	5
sll1681	5
ndhB	5
sll1682	5
sll1686	5
sll1037	5
rne	5
slr0730	5
atpI	5
atpH	5
atpC	5
hypD	5
atpA	5
atpG	5
atpF	5
atpD	5
glmS	5
ssr2972	5
slr1501	5
slr1774	5
slr1773	5
slr1772	5
trx	5
ssl2009	3
fhuA	5
slr1776	5
upp	5
slr1415	5
dapB	5
pchR	5
psb13	5
fus	5
llaI_2	4
ssl0410	4
sll0230	5
msrA2	5
psaK	5
psaD	5
aroK	5
rffM	5
sll1036	5
ssl0426	3
fecD	5
fecE	5
fecB	5
fecC	5
phb	5
ssl2733	3
folK	5
sll1039	5
cysM	5
ccmK2	5
sll0228	5
cysH	5
sll0224	5
sll0225	5
slr1780	5
ccmM	5
slr1488	5
ccmN	5
cad	5
ccmK	5
slr0722	5
hhoA	5
cbiF	5
slr1485	5
slr1484	5
iutA	5
pheA	5
slr1119	5
ccmL	5
slr1117	5
slr1116	5
slr1115	5
slr1114	5
slr1113	5
slr1110	5
ssl1326	4
sll1041	5
slr0236	5
slr0725	5
sll1204	5
sll1049	5
sll1062	4
ssr3000	5
atp1	5
sll1203	5
sll1202	5
sll0219	5
rfbD2	5
slr1494	5
slr1495	5
slr1493	5
slr0742	5
morR	5
slr1100	5
chlD	5
sll0217	5
sll0216	5
sll1658	5
pcrR	5
slr1411	5
ppiB	5
sll1663	5
sll1660	5
sll1665	5
sll1664	5
slr1104	5
slr1417	5
slr1414	5
sll0696	5
slr0613	5
slr0612	5
slr1102	5
dfr	5
ycf6	1
sll1052	5
exbB	5
sll1054	5
slr1094	5
xerC	5
sgl0002	3
sll1214	5
bcp2	5
phoU	5
ubiX	5
sds	5
sll1053	5
sll1401	4
sll1400	4
sll1407	5
infB	5
sll1405	5
msrA	5
phoA	5
nifS	5
sll1659	5
ycf10	5
sll1213	5
ank	5
me	5
sll1671	5
sll1672	5
sll1673	5
sll1675	5
slr0251	5
fhuA2	5
sll1678	5
bvdR	5
ssr2998	4
nusA	5
slr0729	5
slr0728	5
slr0723	5
sll1064	5
slr1101	5
dnaJ	5
sll1061	4
sll1060	5
sll1063	5
lepB	5
glgA	5
ksgA	5
sll1680	5
sll0703	5
sll0702	5
ycf4	5
sll1319	5
sll1318	5
slr1127	5
slr1122	5
rfbD	5
psbA2	2
glgX	5
pleD	5
slr1128	5
purL	5
gpmB	5
slr1103	5
lig	5
slr0240	5
slr0241	5
slr0740	5
slr0249	5
trpE	5
hrcA	5
sll1040	5
pnp	5
slr0254	5
slr0731	5
slr0732	3
slr0734	5
slr0244	5
slr0252	5
slr0727	4
slr0245	5
sll0710	5
sll0711	5
slr1098	5
slr1778	5
talB	5
sohA	5
slr1097	5
crtX	5
slr1095	5
slr1794	5
pdxJ	5
slr1796	5
slr1790	5
psbM	2
hofD	5
slr1107	5
slr0243	5
slr1799	5
gltD	5
slr0250	5
slr1315	5
fhuA3	5
sll1399	5
pchR1	5
ssl2069	5
sll1396	5
cpcF	5
bcp	5
sll1392	5
malQ	5
slr1593	5
slr1592	5
slr1591	5
slr1590	5
slr1597	5
ubiH	5
slr1595	5
sll0649	5
sll1021	5
sll1020	5
sll0644	5
sll1022	5
sll1025	5
sll1024	5
sll0641	5
slr1762	5
ssl1920	1
envM	5
ssl1922	1
ycf45	5
sll0924	5
ycf22	5
sll0943	5
sufA	5
gerCb	5
slr1594	5
slr1043	5
HAGH1	5
slr1066	5
slr0981	5
slr0980	5
Sac1	5
slr1062	3
sll0647	5
slr1306	5
slr1307	5
slr1305	5
slr1302	5
slr1303	5
slr1069	2
slr1301	5
sll0639	5
sll0645	5
psbK	3
pxcA	5
pfkA	5
ureG	5
ureD	5
rps32	5
galE2	5
hemF	5
slr1771	5
ftsH	5
ssr2153	5
slr1076	5
slr1077	5
sll1638	5
slr1071	2
cyaA	5
slr1073	5
sll1635	5
slr1079	5
hisD	5
rpl28	5
slr1603	5
ndhD2	5
pleD2	5
slr1600	5
slr0678	5
birA	5
slr1609	5
slr1770	5
slr0670	5
lipA	5
slr1074	5
slr1768	5
sll0922	5
metX	5
slr1767	3
amt2	5
sll0926	5
sll0925	5
slr1763	5
slr1041	5
ssr2708	3
slr1042	5
slr1045	5
trmD	5
ytfC	5
slr1046	5
ssr1765	4
slr1048	5
hliA	5
ssr1766	4
sll1640	5
slr1800	5
cysC	5
sll1191	5
slr1611	5
slr1612	5
slr1613	5
slr1616	5
slr1617	5
slr1618	5
slr1619	5
ccmA	5
cbiA	5
sll0938	5
sll0939	5
slr1298	5
slr1299	5
rps15	5
sll0930	5
sll0931	5
sll0932	5
sll0933	5
slr1290	5
sll1193	5
sll0936	5
slr1293	5
sll1515	5
gpsA	5
sll1192	5
sll1511	5
sll1510	5
sll1512	5
slr1056	5
cbiH	5
gltB	5
ssl2384	5
slr1053	5
slr1050	5
chlH	5
fbp	5
slr1753	5
frpC	5
epsB	5
sll1188	5
sll1186	5
hsp17	5
nucH	5
sll1500	5
slr1065	5
ssr1155	4
sll1503	5
slr0695	5
sll1507	5
sll1504	5
sll1505	4
slr1063	4
slr1846	5
sll1752	5
ssr1768	4
ccsA	5
ssl2920	1
slr1400	5
infC	5
mcpA	5
exbB2	5
slr1599	5
slr0964	5
slr0967	5
btpA	5
ssl1923	4
gad	5
ycf19	5
lgt	5
yefA	5
psaM	3
ssl1972	5
slr1601	5
fmu/fmv	5
ssl1792	5
slr0686	5
pleD3	5
slr0680	5
slr0681	5
slr1068	1
slr1070	5
slr0689	5
dnaN	5
slr1052	5
lpxC	5
ssr2962	4
rfbU	5
sll1006	5
sll1005	5
sll1004	5
sll1003	5
sll1001	5
rfbB	5
rfbC	5
slr1085	5
