task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
198	c4/8dea4f	621110	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_amb_g4_r1_T1)	CACHED	0	2024-01-23 01:06:37.316	1m 47s	1m 46s	398.0%	1021.6 MB	1.8 GB	1.5 GB	1.4 GB
199	ab/963fec	534530	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_1_g8_r1_T1)	CACHED	0	2024-01-23 00:37:12.607	50.1s	49s	618.0%	788.8 MB	1.6 GB	3.2 GB	3.2 GB
216	7b/563f02	681582	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_1_g0_r2_T1)	CACHED	0	2024-01-23 01:39:19.211	38.6s	36s	128.1%	2.8 MB	11 MB	169.9 MB	2.2 MB
209	01/8e46f9	670202	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g0_r1_T1)	CACHED	0	2024-01-23 01:33:12.424	1m 10s	1m 8s	424.2%	1021.4 MB	1.8 GB	1.3 GB	1.2 GB
158	65/861af6	298113	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_1_g4_r1_T1)	CACHED	0	2024-01-22 23:56:24.815	1m 43s	1m 41s	376.9%	1.5 GB	1.9 GB	8.8 GB	8.7 GB
223	17/e8a2df	730674	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_amb_g8_r2_T1)	CACHED	0	2024-01-23 02:05:46.465	3s	2s	338.9%	2.8 MB	11 MB	57.5 MB	783.5 KB
205	24/149bb3	729268	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_amb_g0_r2_T1)	CACHED	0	2024-01-23 02:05:25.498	4s	3s	341.9%	2.8 MB	11 MB	85 MB	787.9 KB
220	72/5b98be	682228	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_1_g0_r3_T1)	CACHED	0	2024-01-23 01:39:57.825	47.6s	45s	125.3%	2.8 MB	11 MB	205.1 MB	2.2 MB
211	ab/42b60c	654053	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (CO2_amb_g4_r3_T1)	CACHED	0	2024-01-23 01:23:58.875	30.5s	28s	129.8%	2.8 MB	11 MB	129 MB	2.2 MB
225	3b/fb6f9e	678328	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (CO2_1_g0_r2_T1)	CACHED	0	2024-01-23 01:37:48.924	1m 30s	1m 28s	426.8%	1022.1 MB	1.8 GB	1.6 GB	1.6 GB
