TYPE	ACCESSION	ALIAS
SAMPLE	ERS20949264	CO2_4percent_t0_r1
SAMPLE	ERS20949265	CO2_4percent_t0_r2
SAMPLE	ERS20949266	CO2_4percent_t0_r3
SAMPLE	ERS20949267	CO2_4percent_t0_r4
SAMPLE	ERS20949268	CO2_4percent_t1_r1
SAMPLE	ERS20949269	CO2_4percent_t1_r2
SAMPLE	ERS20949270	CO2_4percent_t1_r3
SAMPLE	ERS20949271	CO2_4percent_t1_r4
SAMPLE	ERS20949272	CO2_4percent_t2_r1
SAMPLE	ERS20949273	CO2_4percent_t2_r2
SAMPLE	ERS20949274	CO2_4percent_t2_r3
SAMPLE	ERS20949275	CO2_4percent_t2_r4
SAMPLE	ERS20949276	CO2_4percent_t3_r1
SAMPLE	ERS20949277	CO2_4percent_t3_r2
SAMPLE	ERS20949278	CO2_4percent_t3_r3
SAMPLE	ERS20949279	CO2_4percent_t3_r4
SAMPLE	ERS20949280	CO2_30percent_t0_r1
SAMPLE	ERS20949281	CO2_30percent_t0_r2
SAMPLE	ERS20949282	CO2_30percent_t0_r3
SAMPLE	ERS20949283	CO2_30percent_t1_r1
SAMPLE	ERS20949284	CO2_30percent_t1_r2
SAMPLE	ERS20949285	CO2_30percent_t1_r3
SAMPLE	ERS20949286	CO2_30percent_t2_r1
SAMPLE	ERS20949287	CO2_30percent_t2_r2
SAMPLE	ERS20949288	CO2_30percent_t2_r3
SAMPLE	ERS20949289	CO2_30percent_t3_r1
SAMPLE	ERS20949290	CO2_30percent_t3_r2
SAMPLE	ERS20949291	CO2_30percent_t3_r3
SUBMISSION	ERA30781956	ena-SUBMISSION-TAB-05-09-2024-10:21:05:647-89589
