# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "CO2_30_g8_r3.featureCounts.txt" "CO2_30_g8_r3.bam" 
Geneid	Chr	Start	End	Strand	Length	CO2_30_g8_r3.bam
sll1677|130	sll1677|130	1	20	.	20	92
sll1677|88	sll1677|88	1	17	.	17	76
sll1677|7	sll1677|7	1	17	.	17	27
sll1677|31	sll1677|31	1	22	.	22	36
sll1677|163	sll1677|163	1	22	.	22	72
sll0218|192	sll0218|192	1	17	.	17	185
sll0218|64	sll0218|64	1	17	.	17	47
sll0218|8	sll0218|8	1	22	.	22	112
sll0218|112	sll0218|112	1	20	.	20	177
sll0218|39	sll0218|39	1	22	.	22	198
ssr1853|89	ssr1853|89	1	19	.	19	166
ssr1853|139	ssr1853|139	1	21	.	21	226
ssr1853|125	ssr1853|125	1	21	.	21	289
ssr1853|76	ssr1853|76	1	18	.	18	731
ssr1853|103	ssr1853|103	1	20	.	20	125
slr1413|21	slr1413|21	1	22	.	22	111
slr1413|62	slr1413|62	1	18	.	18	34
slr1413|81	slr1413|81	1	17	.	17	23
slr1413|93	slr1413|93	1	22	.	22	86
slr1413|38	slr1413|38	1	17	.	17	84
speA|208	speA|208	1	20	.	20	147
speA|151	speA|151	1	20	.	20	264
speA|61	speA|61	1	17	.	17	97
speA|12	speA|12	1	20	.	20	263
speA|127	speA|127	1	22	.	22	140
gmk|118	gmk|118	1	17	.	17	8
gmk|6	gmk|6	1	20	.	20	4
gmk|141	gmk|141	1	18	.	18	38
gmk|184	gmk|184	1	20	.	20	11
gmk|50	gmk|50	1	22	.	22	6
slr1783|80	slr1783|80	1	20	.	20	42
slr1783|47	slr1783|47	1	17	.	17	23
slr1783|92	slr1783|92	1	18	.	18	17
slr1783|105	slr1783|105	1	21	.	21	3
slr1783|117	slr1783|117	1	17	.	17	39
sll0558|73	sll0558|73	1	22	.	22	92
sll0558|150	sll0558|150	1	22	.	22	258
sll0558|138	sll0558|138	1	21	.	21	13
sll0558|127	sll0558|127	1	20	.	20	17
sll0558|16	sll0558|16	1	21	.	21	27
phdD|80	phdD|80	1	18	.	18	200
phdD|109	phdD|109	1	22	.	22	16
phdD|65	phdD|65	1	17	.	17	22
phdD|139	phdD|139	1	20	.	20	62
phdD|161	phdD|161	1	19	.	19	162
slr1787|103	slr1787|103	1	17	.	17	21
slr1787|84	slr1787|84	1	19	.	19	43
slr1787|69	slr1787|69	1	19	.	19	3
slr1787|27	slr1787|27	1	19	.	19	31
slr1787|48	slr1787|48	1	21	.	21	58
fecB3|146	fecB3|146	1	19	.	19	112
fecB3|32	fecB3|32	1	22	.	22	39
fecB3|106	fecB3|106	1	20	.	20	405
fecB3|121	fecB3|121	1	18	.	18	28
fecB3|77	fecB3|77	1	17	.	17	43
fecB2|67	fecB2|67	1	22	.	22	130
fecB2|118	fecB2|118	1	21	.	21	42
fecB2|145	fecB2|145	1	20	.	20	152
fecB2|165	fecB2|165	1	22	.	22	80
fecB2|190	fecB2|190	1	21	.	21	106
slr1788|18	slr1788|18	1	21	.	21	99
slr1788|161	slr1788|161	1	20	.	20	147
slr1788|30	slr1788|30	1	20	.	20	61
slr1788|122	slr1788|122	1	20	.	20	140
slr1788|172	slr1788|172	1	18	.	18	305
slr1789|140	slr1789|140	1	20	.	20	67
slr1789|27	slr1789|27	1	22	.	22	28
slr1789|39	slr1789|39	1	20	.	20	102
slr1789|250	slr1789|250	1	19	.	19	128
slr1789|97	slr1789|97	1	20	.	20	75
crtE|100	crtE|100	1	21	.	21	276
crtE|184	crtE|184	1	22	.	22	13
crtE|124	crtE|124	1	20	.	20	79
crtE|76	crtE|76	1	20	.	20	11
crtE|7	crtE|7	1	18	.	18	27
mom72|42	mom72|42	1	21	.	21	184
mom72|82	mom72|82	1	18	.	18	160
mom72|61	mom72|61	1	20	.	20	337
mom72|99	mom72|99	1	20	.	20	101
mom72|110	mom72|110	1	18	.	18	342
slr0238|51	slr0238|51	1	18	.	18	307
slr0238|88	slr0238|88	1	20	.	20	162
slr0238|40	slr0238|40	1	21	.	21	59
slr0238|143	slr0238|143	1	20	.	20	144
slr0238|107	slr0238|107	1	21	.	21	222
ctpB|6	ctpB|6	1	20	.	20	88
ctpB|93	ctpB|93	1	20	.	20	34
ctpB|27	ctpB|27	1	19	.	19	41
ctpB|82	ctpB|82	1	22	.	22	27
ctpB|70	ctpB|70	1	18	.	18	181
mutT|117	mutT|117	1	19	.	19	603
mutT|9	mutT|9	1	22	.	22	152
mutT|53	mutT|53	1	22	.	22	293
mutT|135	mutT|135	1	20	.	20	98
mutT|77	mutT|77	1	21	.	21	56
rhnB|69	rhnB|69	1	22	.	22	243
rhnB|143	rhnB|143	1	18	.	18	97
rhnB|42	rhnB|42	1	21	.	21	172
rhnB|129	rhnB|129	1	17	.	17	150
rhnB|86	rhnB|86	1	19	.	19	118
adk|112	adk|112	1	21	.	21	224
adk|124	adk|124	1	19	.	19	45
adk|43	adk|43	1	17	.	17	217
adk|56	adk|56	1	21	.	21	138
adk|23	adk|23	1	20	.	20	280
sll1033|70	sll1033|70	1	19	.	19	19
sll1033|84	sll1033|84	1	21	.	21	103
sll1033|33	sll1033|33	1	22	.	22	56
sll1033|14	sll1033|14	1	17	.	17	153
sll1033|53	sll1033|53	1	17	.	17	233
sll1681|6	sll1681|6	1	20	.	20	75
sll1681|118	sll1681|118	1	20	.	20	214
sll1681|98	sll1681|98	1	17	.	17	150
sll1681|167	sll1681|167	1	17	.	17	109
sll1681|144	sll1681|144	1	18	.	18	128
ndhB|77	ndhB|77	1	17	.	17	147
ndhB|132	ndhB|132	1	22	.	22	34
ndhB|121	ndhB|121	1	17	.	17	50
ndhB|148	ndhB|148	1	19	.	19	136
