# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "CO2_4_g4_r3.featureCounts.txt" "CO2_4_g4_r3.bam" 
Geneid	Chr	Start	End	Strand	Length	CO2_4_g4_r3.bam
sll1677|130	sll1677|130	1	20	.	20	187
sll1677|88	sll1677|88	1	17	.	17	319
sll1677|7	sll1677|7	1	17	.	17	164
sll1677|31	sll1677|31	1	22	.	22	197
sll1677|163	sll1677|163	1	22	.	22	151
sll0218|192	sll0218|192	1	17	.	17	251
sll0218|64	sll0218|64	1	17	.	17	193
sll0218|8	sll0218|8	1	22	.	22	228
sll0218|112	sll0218|112	1	20	.	20	246
sll0218|39	sll0218|39	1	22	.	22	322
ssr1853|89	ssr1853|89	1	19	.	19	241
ssr1853|139	ssr1853|139	1	21	.	21	231
ssr1853|125	ssr1853|125	1	21	.	21	391
ssr1853|76	ssr1853|76	1	18	.	18	784
ssr1853|103	ssr1853|103	1	20	.	20	166
slr1413|21	slr1413|21	1	22	.	22	189
slr1413|62	slr1413|62	1	18	.	18	154
slr1413|81	slr1413|81	1	17	.	17	125
slr1413|93	slr1413|93	1	22	.	22	247
slr1413|38	slr1413|38	1	17	.	17	273
speA|208	speA|208	1	20	.	20	191
speA|151	speA|151	1	20	.	20	203
speA|61	speA|61	1	17	.	17	131
speA|12	speA|12	1	20	.	20	334
speA|127	speA|127	1	22	.	22	208
gmk|118	gmk|118	1	17	.	17	27
gmk|6	gmk|6	1	20	.	20	4
gmk|141	gmk|141	1	18	.	18	68
gmk|184	gmk|184	1	20	.	20	19
gmk|50	gmk|50	1	22	.	22	19
slr1783|80	slr1783|80	1	20	.	20	140
slr1783|47	slr1783|47	1	17	.	17	191
slr1783|92	slr1783|92	1	18	.	18	21
slr1783|105	slr1783|105	1	21	.	21	31
slr1783|117	slr1783|117	1	17	.	17	89
sll0558|73	sll0558|73	1	22	.	22	148
sll0558|150	sll0558|150	1	22	.	22	363
sll0558|138	sll0558|138	1	21	.	21	26
sll0558|127	sll0558|127	1	20	.	20	38
sll0558|16	sll0558|16	1	21	.	21	66
phdD|80	phdD|80	1	18	.	18	287
phdD|109	phdD|109	1	22	.	22	22
phdD|65	phdD|65	1	17	.	17	75
phdD|139	phdD|139	1	20	.	20	78
phdD|161	phdD|161	1	19	.	19	269
slr1787|103	slr1787|103	1	17	.	17	47
slr1787|84	slr1787|84	1	19	.	19	68
slr1787|69	slr1787|69	1	19	.	19	55
slr1787|27	slr1787|27	1	19	.	19	117
slr1787|48	slr1787|48	1	21	.	21	141
fecB3|146	fecB3|146	1	19	.	19	183
fecB3|32	fecB3|32	1	22	.	22	54
fecB3|106	fecB3|106	1	20	.	20	467
fecB3|121	fecB3|121	1	18	.	18	65
fecB3|77	fecB3|77	1	17	.	17	82
fecB2|67	fecB2|67	1	22	.	22	161
fecB2|118	fecB2|118	1	21	.	21	61
fecB2|145	fecB2|145	1	20	.	20	194
fecB2|165	fecB2|165	1	22	.	22	134
fecB2|190	fecB2|190	1	21	.	21	109
slr1788|18	slr1788|18	1	21	.	21	77
slr1788|161	slr1788|161	1	20	.	20	234
slr1788|30	slr1788|30	1	20	.	20	73
slr1788|122	slr1788|122	1	20	.	20	178
slr1788|172	slr1788|172	1	18	.	18	433
slr1789|140	slr1789|140	1	20	.	20	146
slr1789|27	slr1789|27	1	22	.	22	39
slr1789|39	slr1789|39	1	20	.	20	140
slr1789|250	slr1789|250	1	19	.	19	188
slr1789|97	slr1789|97	1	20	.	20	98
crtE|100	crtE|100	1	21	.	21	358
crtE|184	crtE|184	1	22	.	22	35
crtE|124	crtE|124	1	20	.	20	126
crtE|76	crtE|76	1	20	.	20	38
crtE|7	crtE|7	1	18	.	18	44
mom72|42	mom72|42	1	21	.	21	266
mom72|82	mom72|82	1	18	.	18	226
mom72|61	mom72|61	1	20	.	20	464
mom72|99	mom72|99	1	20	.	20	148
mom72|110	mom72|110	1	18	.	18	407
slr0238|51	slr0238|51	1	18	.	18	502
slr0238|88	slr0238|88	1	20	.	20	235
slr0238|40	slr0238|40	1	21	.	21	79
slr0238|143	slr0238|143	1	20	.	20	204
slr0238|107	slr0238|107	1	21	.	21	287
ctpB|6	ctpB|6	1	20	.	20	201
ctpB|93	ctpB|93	1	20	.	20	74
ctpB|27	ctpB|27	1	19	.	19	101
ctpB|82	ctpB|82	1	22	.	22	26
ctpB|70	ctpB|70	1	18	.	18	382
mutT|117	mutT|117	1	19	.	19	764
mutT|9	mutT|9	1	22	.	22	156
mutT|53	mutT|53	1	22	.	22	452
mutT|135	mutT|135	1	20	.	20	384
mutT|77	mutT|77	1	21	.	21	90
rhnB|69	rhnB|69	1	22	.	22	326
rhnB|143	rhnB|143	1	18	.	18	160
rhnB|42	rhnB|42	1	21	.	21	224
rhnB|129	rhnB|129	1	17	.	17	187
rhnB|86	rhnB|86	1	19	.	19	181
adk|112	adk|112	1	21	.	21	278
adk|124	adk|124	1	19	.	19	121
adk|43	adk|43	1	17	.	17	289
adk|56	adk|56	1	21	.	21	185
adk|23	adk|23	1	20	.	20	376
sll1033|70	sll1033|70	1	19	.	19	42
sll1033|84	sll1033|84	1	21	.	21	137
sll1033|33	sll1033|33	1	22	.	22	122
sll1033|14	sll1033|14	1	17	.	17	165
sll1033|53	sll1033|53	1	17	.	17	329
sll1681|6	sll1681|6	1	20	.	20	89
sll1681|118	sll1681|118	1	20	.	20	375
sll1681|98	sll1681|98	1	17	.	17	199
sll1681|167	sll1681|167	1	17	.	17	115
sll1681|144	sll1681|144	1	18	.	18	152
ndhB|77	ndhB|77	1	17	.	17	179
ndhB|132	ndhB|132	1	22	.	22	68
ndhB|121	ndhB|121	1	17	.	17	299
ndhB|148	ndhB|148	1	19	.	19	169
ndhB|51	ndhB|51	1	19	.	19	160
sll1682|83	sll1682|83	1	20	.	20	435
sll1682|55	sll1682|55	1	17	.	17	272
sll1682|32	sll1682|32	1	21	.	21	211
sll1682|134	sll1682|134	1	21	.	21	285
sll1682|115	sll1682|115	1	18	.	18	290
sll1686|64	sll1686|64	1	22	.	22	239
sll1686|165	sll1686|165	1	17	.	17	100
sll1686|193	sll1686|193	1	20	.	20	144
sll1686|180	sll1686|180	1	21	.	21	604
sll1686|214	sll1686|214	1	21	.	21	340
sll1037|58	sll1037|58	1	22	.	22	743
sll1037|73	sll1037|73	1	19	.	19	834
sll1037|21	sll1037|21	1	21	.	21	279
sll1037|94	sll1037|94	1	19	.	19	368
sll1037|46	sll1037|46	1	17	.	17	334
rne|232	rne|232	1	20	.	20	316
rne|194	rne|194	1	17	.	17	355
rne|138	rne|138	1	17	.	17	219
rne|206	rne|206	1	20	.	20	280
rne|82	rne|82	1	17	.	17	505
