condition	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank
CO2_30percent	tRNA charging	21	-0.821175148548337	-1.7290250583486308	3.286536738732865e-6	1.1831532259438314e-4	4.843317299185275e-5	366
CO2_30percent	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	12	-0.8688221278165977	-1.6884582755715618	3.135058265653091e-5	5.643104878175564e-4	2.3100429325864882e-4	453
CO2_30percent	orange carotenoid protein photoprotection	14	0.7347271484883762	2.2853004737563927	2.46531327114283e-4	0.002958375925371396	0.0012110310805613905	265
CO2_30percent	L-histidine biosynthesis	11	-0.8425272775597744	-1.6221240506016728	6.694622595740486e-4	0.00482012826893315	0.0019731519229550906	800
CO2_30percent	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	12	-0.8191894503985273	-1.5920027385378583	6.02762911629573e-4	0.00482012826893315	0.0019731519229550906	341
CO2_30percent	superpathway of aromatic amino acid biosynthesis	16	-0.7709241063440513	-1.5732351281120855	9.899493378431477e-4	0.005508516590533494	0.002254948311914296	1167
CO2_30percent	superpathway of pseudocobalamin biosynthesis (anaerobic)	24	-0.7098311944920082	-1.5112831020696837	0.0010711004481592905	0.005508516590533494	0.002254948311914296	1269
CO2_30percent	superpathway of L-tryptophan biosynthesis	13	-0.79016756096638	-1.5663999438719038	0.001726868130714751	0.007067181111618901	0.0028929981158673872	1029
CO2_30percent	succinate to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	13	-0.7892248458378659	-1.564531139079936	0.0017667952779047253	0.007067181111618901	0.0028929981158673872	341
CO2_30percent	superpathway of branched chain amino acid biosynthesis	10	-0.8303858105092392	-1.5811134847478234	0.0023384153743549792	0.008418295347677926	0.003446085814838917	598
CO2_4percent	tRNA charging	21	-0.8109221282520624	-1.3967001872715719	7.986238978384928e-4	0.009583486774061914	0.00476372149587873	682
CO2_4percent	linear electron flow II (cytochrome <i>c</i><sub>6</sub>)	41	-0.7451477325363387	-1.312102106892937	5.999077390988227e-4	0.009583486774061914	0.00476372149587873	1006
CO2_4percent	oxygenic photosynthesis	56	-0.7357551333361481	-1.3056152600088995	2.893662221131449e-4	0.009583486774061914	0.00476372149587873	1111
