task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	51/a52d7a	540236	NFCORE_CRISPRISCREEN:CRISPRISCREEN:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_CRISPRi_CO2_Elena.csv)	COMPLETED	0	2024-01-12 11:30:07.662	2.8s	1s	96.0%	2.8 MB	11 MB	2 MB	2.5 KB
2	06/3c2653	540425	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_BUILD (Synechocystis_v2_trimmed.fasta)	COMPLETED	0	2024-01-12 11:30:10.538	3.5s	1s	219.4%	117.3 MB	655.1 MB	8.6 MB	13.1 MB
1	f6/0f8a34	540793	NFCORE_CRISPRISCREEN:CRISPRISCREEN:PREPARE_LIBRARY (Synechocystis_v2_trimmed.fasta)	COMPLETED	0	2024-01-12 11:30:14.098	17.2s	5s	113.4%	2.8 MB	11 MB	6.4 MB	1 MB
6	40/992b14	541165	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (3_T1)	COMPLETED	0	2024-01-12 11:30:31.331	42s	38s	357.9%	723.7 MB	1.1 GB	3.5 GB	3.4 GB
11	43/a5ce79	544217	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (7_T1)	COMPLETED	0	2024-01-12 11:31:13.342	39s	36s	355.1%	732.4 MB	1.1 GB	3.5 GB	3.4 GB
5	80/df2dc7	547255	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (2_T1)	COMPLETED	0	2024-01-12 11:31:52.364	32.4s	30s	348.4%	723 MB	1.1 GB	2.8 GB	2.7 GB
4	51/af93c0	550079	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (1_T1)	COMPLETED	0	2024-01-12 11:32:24.768	1m 11s	46s	195.9%	643.2 MB	1 GB	2.4 GB	2.3 GB
8	32/55f788	553573	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (5_T1)	COMPLETED	0	2024-01-12 11:33:35.626	42.8s	40s	356.5%	731.4 MB	1.1 GB	3.8 GB	3.7 GB
9	dd/207d79	556824	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (6_T1)	COMPLETED	0	2024-01-12 11:34:18.451	28s	26s	348.2%	607.4 MB	1001.1 MB	2.4 GB	2.3 GB
10	82/d43c10	559448	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (6_new_T1)	COMPLETED	0	2024-01-12 11:34:46.499	16s	14s	311.3%	354.9 MB	755.3 MB	1.2 GB	1.1 GB
