task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	06/3c2653	540425	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_BUILD (Synechocystis_v2_trimmed.fasta)	CACHED	0	2024-01-12 11:30:10.538	3.5s	1s	219.4%	117.3 MB	655.1 MB	8.6 MB	13.1 MB
2	f6/0f8a34	540793	NFCORE_CRISPRISCREEN:CRISPRISCREEN:PREPARE_LIBRARY (Synechocystis_v2_trimmed.fasta)	CACHED	0	2024-01-12 11:30:14.098	17.2s	5s	113.4%	2.8 MB	11 MB	6.4 MB	1 MB
1	07/b5a0e9	797774	NFCORE_CRISPRISCREEN:CRISPRISCREEN:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_CRISPRi_CO2_Elena.csv)	COMPLETED	0	2024-01-12 14:40:32.562	2.5s	0ms	104.6%	2.8 MB	11 MB	2 MB	2.6 KB
7	5f/739df7	797965	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_T1)	COMPLETED	0	2024-01-12 14:40:35.154	32.5s	29s	351.5%	716.4 MB	1.1 GB	2.6 GB	2.6 GB
11	01/1845ed	800800	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_8_T1)	COMPLETED	0	2024-01-12 14:41:07.703	49.6s	44s	295.0%	730.3 MB	1.1 GB	3.3 GB	3.2 GB
4	25/e1552c	804078	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_1_T1)	COMPLETED	0	2024-01-12 14:41:57.279	31.3s	28s	340.5%	574.7 MB	967.6 MB	2.4 GB	2.3 GB
10	ad/c3ea62	806629	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_7_T1)	COMPLETED	0	2024-01-12 14:42:28.598	40.4s	38s	359.2%	732.2 MB	1.1 GB	3.5 GB	3.4 GB
8	76/d3322c	809592	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_5_T1)	COMPLETED	0	2024-01-12 14:43:09.037	44s	41s	360.6%	736.3 MB	1.1 GB	3.8 GB	3.7 GB
5	83/22e892	812840	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_2_T1)	COMPLETED	0	2024-01-12 14:43:53.090	55.3s	30s	353.1%	711.5 MB	1.1 GB	2.8 GB	2.7 GB
6	ac/57347d	815663	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_3_T1)	COMPLETED	0	2024-01-12 14:44:48.442	53.1s	49s	282.7%	735.1 MB	1.1 GB	3.5 GB	3.4 GB
