task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
63	52/615595	477542	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (5_T1)	COMPLETED	0	2024-01-12 09:13:48.245	21.9s	18s	136.4%	2.8 MB	11 MB	90.1 MB	2.3 MB
65	1d/163d1d	478106	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (4_T1)	COMPLETED	0	2024-01-12 09:14:10.124	16.5s	14s	156.7%	2.8 MB	11 MB	66.8 MB	2.3 MB
64	33/d53039	478623	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (4_T1)	COMPLETED	0	2024-01-12 09:14:26.616	26.4s	25s	422.6%	642.4 MB	1.5 GB	507.9 MB	476.8 MB
66	4e/760fb0	480457	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (7_T1)	COMPLETED	0	2024-01-12 09:14:53.065	20.4s	18s	145.2%	2.8 MB	11 MB	82.6 MB	2.3 MB
67	17/3f58af	481012	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (7_T1)	COMPLETED	0	2024-01-12 09:15:13.496	57.7s	56s	252.3%	859.3 MB	1.6 GB	678.6 MB	640.2 MB
68	fb/2c9995	483286	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (6_new_T1)	COMPLETED	0	2024-01-12 09:16:11.228	13s	11s	387.1%	263.8 MB	1.5 GB	204.8 MB	187.2 MB
69	ff/558aec	484625	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (6_new_T1)	COMPLETED	0	2024-01-12 09:16:24.201	10.6s	8s	196.1%	2.8 MB	11 MB	38.2 MB	2.3 MB
71	9a/88c3e7	485047	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (1_T1)	COMPLETED	0	2024-01-12 09:16:34.798	32.3s	31s	353.4%	582.7 MB	1.5 GB	458.7 MB	430.2 MB
70	56/aea90f	486977	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (1_T1)	COMPLETED	0	2024-01-12 09:17:07.059	15.6s	13s	154.9%	2.8 MB	11 MB	62 MB	2.3 MB
72	95/8c4425	487492	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (6_T1)	COMPLETED	0	2024-01-12 09:17:22.679	19.7s	17s	127.3%	2.8 MB	11 MB	61.4 MB	2.3 MB
73	de/0fdda6	488036	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_ALIGN (6_T1)	COMPLETED	0	2024-01-12 09:17:42.375	25s	23s	399.4%	572.4 MB	1.6 GB	451.1 MB	422.7 MB
74	dc/acd445	489812	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FASTQC (3_T1)	COMPLETED	0	2024-01-12 09:18:07.425	21.5s	19s	131.6%	2.8 MB	11 MB	83.5 MB	2.3 MB
