task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	28/81d310	13034	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_BUILD (Synechocystis_v2_trimmed.fasta)	CACHED	0	2024-01-15 13:22:40.749	2.9s	1s	218.0%	12 MB	17.3 MB	8.6 MB	13.1 MB
2	4a/0bfd0a	12365	NFCORE_CRISPRISCREEN:CRISPRISCREEN:PREPARE_LIBRARY (Synechocystis_v2_trimmed.fasta)	CACHED	0	2024-01-15 13:22:28.327	10s	5s	113.6%	69 MB	1.1 GB	6.4 MB	1 MB
3	0f/c5dbb7	271123	NFCORE_CRISPRISCREEN:CRISPRISCREEN:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_CRISPRi_CO2_Elena.csv)	COMPLETED	0	2024-01-15 14:56:08.406	2.4s	0ms	101.2%	2.8 MB	11 MB	2 MB	2.7 KB
8	92/ca3824	271308	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g0_r1_T1)	COMPLETED	0	2024-01-15 14:56:10.919	45.2s	42s	363.1%	736.8 MB	1.1 GB	3.8 GB	3.7 GB
4	e6/920a9e	274586	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r1_T1)	COMPLETED	0	2024-01-15 14:56:56.106	28.5s	26s	354.3%	612.4 MB	1005.8 MB	2.4 GB	2.3 GB
5	dd/d37f93	277117	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r2_T1)	COMPLETED	0	2024-01-15 14:57:24.638	1m 2s	35s	304.0%	732.6 MB	1.1 GB	2.8 GB	2.7 GB
7	e1/9fd176	280081	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r4_T1)	COMPLETED	0	2024-01-15 14:58:27.026	30.7s	28s	354.4%	615.5 MB	1009.9 MB	2.6 GB	2.6 GB
10	e6/8b772d	282769	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g0_r3_T1)	COMPLETED	0	2024-01-15 14:58:57.713	39.8s	37s	364.6%	737.2 MB	1.1 GB	3.5 GB	3.4 GB
6	ec/7b8fab	285848	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r3_T1)	COMPLETED	0	2024-01-15 14:59:37.530	1m 16s	1m 13s	203.3%	727.5 MB	1.1 GB	3.5 GB	3.4 GB
11	5d/11f59c	290665	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g4_r1_T1)	COMPLETED	0	2024-01-15 15:00:53.990	1m 6s	1m 3s	202.4%	732.6 MB	1.1 GB	3.3 GB	3.2 GB
9	0b/ff1bf2	294612	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g0_r2_T1)	COMPLETED	0	2024-01-15 15:02:00.101	53.1s	38s	318.4%	731.6 MB	1.1 GB	3.2 GB	3.2 GB
12	96/1aee3b	297199	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g4_r2_T1)	COMPLETED	0	2024-01-15 15:02:53.242	47.8s	45s	363.9%	744.4 MB	1.1 GB	4.4 GB	4.3 GB
13	33/83f57e	300674	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g4_r3_T1)	COMPLETED	0	2024-01-15 15:03:41.095	44s	41s	355.1%	738 MB	1.1 GB	3.9 GB	3.8 GB
14	3d/f983a1	303906	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g4_r4_T1)	COMPLETED	0	2024-01-15 15:04:25.104	1m 10s	1m 3s	202.0%	737 MB	1.1 GB	3.4 GB	3.3 GB
15	b9/ef40cf	307571	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g4_r1_T1)	COMPLETED	0	2024-01-15 15:05:34.614	45.9s	42s	235.8%	632.1 MB	1 GB	2.7 GB	2.6 GB
16	a6/5edf5f	309506	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g4_r2_T1)	COMPLETED	0	2024-01-15 15:06:20.539	33.1s	31s	357.4%	722.5 MB	1.1 GB	3 GB	2.9 GB
18	a0/1618a8	312317	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g8_r1_T1)	COMPLETED	0	2024-01-15 15:06:53.646	39.8s	37s	359.5%	730.6 MB	1.1 GB	3.6 GB	3.6 GB
17	f8/62463b	315339	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g4_r3_T1)	COMPLETED	0	2024-01-15 15:07:33.440	49.5s	46s	297.6%	730.6 MB	1.2 GB	3.7 GB	3.7 GB
19	82/78b051	318547	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g8_r2_T1)	COMPLETED	0	2024-01-15 15:08:22.926	1m 19s	1m 16s	173.7%	735.8 MB	1.1 GB	3.6 GB	3.5 GB
20	48/c65361	323261	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g8_r3_T1)	COMPLETED	0	2024-01-15 15:09:41.657	48.2s	39s	357.5%	735.5 MB	1.1 GB	3.8 GB	3.7 GB
21	e0/3043c6	326497	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g8_r4_T1)	COMPLETED	0	2024-01-15 15:10:29.915	36s	33s	355.9%	742.1 MB	1.1 GB	3.3 GB	3.2 GB
22	89/791a80	329389	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g8_r1_T1)	COMPLETED	0	2024-01-15 15:11:05.955	36.7s	34s	363.5%	732.2 MB	1.2 GB	3.3 GB	3.2 GB
23	a2/110dc4	332417	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g8_r2_T1)	COMPLETED	0	2024-01-15 15:11:42.663	59s	32s	308.8%	653.7 MB	1 GB	2.8 GB	2.7 GB
24	6d/e6481e	334840	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g8_r3_T1)	COMPLETED	0	2024-01-15 15:12:41.641	1m 2s	43s	246.4%	728.9 MB	1.2 GB	2.9 GB	2.9 GB
25	be/bd637b	337406	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g10_r1_T1)	COMPLETED	0	2024-01-15 15:13:43.434	39.7s	37s	352.5%	735.7 MB	1.1 GB	3.5 GB	3.5 GB
26	70/019ebc	340429	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g10_r2_T1)	COMPLETED	0	2024-01-15 15:14:23.132	37.2s	34s	354.5%	734 MB	1.1 GB	3.3 GB	3.2 GB
27	2f/18d219	343448	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g10_r3_T1)	COMPLETED	0	2024-01-15 15:15:00.376	42.7s	35s	360.0%	730.5 MB	1.1 GB	3.4 GB	3.3 GB
28	5a/8add85	346477	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g10_r4_T1)	COMPLETED	0	2024-01-15 15:15:43.045	52.4s	38s	305.0%	727 MB	1.1 GB	3.2 GB	3.1 GB
29	52/f35185	349063	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g10_r1_T1)	COMPLETED	0	2024-01-15 15:16:35.424	43.6s	41s	358.2%	730.6 MB	1.1 GB	4 GB	3.9 GB
