task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	4a/0bfd0a	12365	NFCORE_CRISPRISCREEN:CRISPRISCREEN:PREPARE_LIBRARY (Synechocystis_v2_trimmed.fasta)	COMPLETED	0	2024-01-15 13:22:28.327	10s	5s	113.6%	69 MB	1.1 GB	6.4 MB	1 MB
1	a9/be15db	12824	NFCORE_CRISPRISCREEN:CRISPRISCREEN:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_CRISPRi_CO2_Elena.csv)	COMPLETED	0	2024-01-15 13:22:38.340	2.4s	0ms	99.2%	10.8 MB	32.8 MB	2 MB	2.7 KB
3	28/81d310	13034	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_BUILD (Synechocystis_v2_trimmed.fasta)	COMPLETED	0	2024-01-15 13:22:40.749	2.9s	1s	218.0%	12 MB	17.3 MB	8.6 MB	13.1 MB
5	4b/f6359d	13497	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2-4_g0_r2_T1)	COMPLETED	0	2024-01-15 13:22:43.633	32.7s	29s	346.7%	722.5 MB	1.1 GB	2.8 GB	2.7 GB
9	65/1d56e1	16315	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2-30_g0_r2_T1)	COMPLETED	0	2024-01-15 13:23:16.363	45.4s	43s	284.6%	733.3 MB	1.1 GB	3.2 GB	3.2 GB
4	5f/cf6c68	19288	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2-4_g0_r1_T1)	COMPLETED	0	2024-01-15 13:24:01.772	27.7s	26s	350.6%	624.5 MB	1017.1 MB	2.4 GB	2.3 GB
7	2f/ef89c1	21893	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2-4_g0_r4_T1)	COMPLETED	0	2024-01-15 13:24:29.503	32.5s	28s	344.8%	610.9 MB	1003.9 MB	2.6 GB	2.6 GB
10	72/f16d0d	24696	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2-30_g0_r3_T1)	COMPLETED	0	2024-01-15 13:25:01.979	39.1s	36s	359.5%	735.9 MB	1.1 GB	3.5 GB	3.4 GB
12	2c/654fa6	27737	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2-4_g4_r2_T1)	COMPLETED	0	2024-01-15 13:25:41.103	52.9s	50s	368.1%	737.3 MB	1.1 GB	4.4 GB	4.3 GB
6	78/fcab2d	31523	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2-4_g0_r3_T1)	COMPLETED	0	2024-01-15 13:26:33.990	57.7s	55s	265.8%	727.2 MB	1.1 GB	3.5 GB	3.4 GB
8	5a/5487eb	35179	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2-30_g0_r1_T1)	COMPLETED	0	2024-01-15 13:27:31.722	45.9s	43s	358.3%	742.5 MB	1.1 GB	3.8 GB	3.7 GB
