task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
131	f9/9089a3	229505	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_4_g8_r3)	COMPLETED	0	2024-09-13 12:48:54.359	2.1s	1s	289.5%	6.4 MB	25.4 MB	57.7 MB	780.5 KB
132	e2/73bd28	229729	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_4_g10_r1)	COMPLETED	0	2024-09-13 12:48:56.448	2s	1s	274.5%	6.5 MB	25.4 MB	53.5 MB	779.2 KB
133	60/b31bed	229957	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_4_g8_r4)	COMPLETED	0	2024-09-13 12:48:58.482	2.1s	1s	256.1%	7.6 MB	25.5 MB	48.5 MB	778.8 KB
134	3a/5a0c2c	230182	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_30_g8_r1)	COMPLETED	0	2024-09-13 12:49:00.543	2.1s	1s	253.7%	6.1 MB	25.4 MB	49.7 MB	778.3 KB
135	3a/f5e394	230402	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_30_g8_r2)	COMPLETED	0	2024-09-13 12:49:02.674	2s	1s	218.3%	6.1 MB	25.4 MB	41.5 MB	776.4 KB
136	63/141bff	230634	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_30_g8_r3)	COMPLETED	0	2024-09-13 12:49:04.674	2.1s	1s	232.8%	7.6 MB	25.5 MB	43.8 MB	776.9 KB
137	e8/fa8a96	230853	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_4_g10_r3)	COMPLETED	0	2024-09-13 12:49:06.772	1.9s	1s	272.1%	7.6 MB	25.5 MB	51 MB	778.9 KB
138	0e/b38473	231084	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_30_g10_r1)	COMPLETED	0	2024-09-13 12:49:08.683	2s	1s	318.3%	7.6 MB	25.5 MB	59.1 MB	779.6 KB
139	e8/fa54cb	231304	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_4_g10_r2)	COMPLETED	0	2024-09-13 12:49:10.659	1.9s	1s	264.7%	7.6 MB	25.4 MB	50.1 MB	778.4 KB
140	d3/63cf99	231527	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_30_g10_r3)	COMPLETED	0	2024-09-13 12:49:12.576	2s	1s	306.7%	7.6 MB	25.5 MB	56.4 MB	778.9 KB
141	1d/f442bd	231758	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_4_g10_r4)	COMPLETED	0	2024-09-13 12:49:14.530	1.9s	1s	257.6%	7.6 MB	25.5 MB	47.8 MB	778.2 KB
142	b0/2640e2	231978	NFCORE_CRISPRISCREEN:CRISPRISCREEN:SUBREAD_FEATURECOUNTS (CO2_30_g10_r2)	COMPLETED	0	2024-09-13 12:49:16.436	1.9s	1s	277.3%	7.6 MB	25.5 MB	51.3 MB	778.2 KB
143	f5/1652ef	232210	NFCORE_CRISPRISCREEN:CRISPRISCREEN:PREPARE_COUNTS ([CO2_30_g0_r1.featureCounts.txt, CO2_30_g0_r2.featureCounts.txt, CO2_4_g0_r3.featureCounts.txt, CO2_4_g0_r1.featureCounts.txt, CO2_4_g4_r2.featureCounts.txt, CO2_4_g0_r2.featureCounts.txt, CO2_4_g0_r4.featureCounts.txt, CO2_30_g0_r3.featureCounts.txt, CO2_4_g4_r1.featureCounts.txt, CO2_30_g4_r1.featureCounts.txt, CO2_4_g4_r3.featureCounts.txt, CO2_30_g4_r3.featureCounts.txt, CO2_4_g4_r4.featureCounts.txt, CO2_30_g4_r2.featureCounts.txt, CO2_4_g8_r1.featureCounts.txt, CO2_4_g8_r2.featureCounts.txt, CO2_4_g8_r3.featureCounts.txt, CO2_4_g10_r1.featureCounts.txt, CO2_4_g8_r4.featureCounts.txt, CO2_30_g8_r1.featureCounts.txt, CO2_30_g8_r2.featureCounts.txt, CO2_30_g8_r3.featureCounts.txt, CO2_4_g10_r3.featureCounts.txt, CO2_30_g10_r1.featureCounts.txt, CO2_4_g10_r2.featureCounts.txt, CO2_30_g10_r3.featureCounts.txt, CO2_4_g10_r4.featureCounts.txt, CO2_30_g10_r2.featureCounts.txt])	COMPLETED	0	2024-09-13 12:49:18.355	4.5s	1s	163.1%	6.9 MB	94.8 MB	27 MB	2.4 MB
144	61/40eafb	232556	NFCORE_CRISPRISCREEN:CRISPRISCREEN:FITNESS (samplesheet_CRISPRi_CO2_Elena.csv)	COMPLETED	0	2024-09-13 12:49:25.842	2m 48s	2m 34s	215.5%	5.9 GB	16.2 GB	114.5 MB	66.4 MB
145	9d/cd5e6e	237264	NFCORE_CRISPRISCREEN:CRISPRISCREEN:RMARKDOWNNOTEBOOK (counts_summary)	COMPLETED	0	2024-09-13 12:52:13.473	43.6s	23.7s	102.3%	425.3 MB	929.5 MB	44.9 MB	12.8 MB
146	b2/70c6f1	238457	NFCORE_CRISPRISCREEN:CRISPRISCREEN:RMARKDOWNNOTEBOOK (fitness_summary)	COMPLETED	0	2024-09-13 12:52:57.046	39.1s	28.8s	45.3%	333 MB	860.4 MB	48.5 MB	8.8 MB
147	31/8275d4	239742	NFCORE_CRISPRISCREEN:CRISPRISCREEN:MULTIQC	COMPLETED	0	2024-09-13 12:53:37.503	7.4s	4.2s	92.9%	109.7 MB	1.2 GB	68.3 MB	22.1 MB
