Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CO2_1_g0_r1_T1	100.0	5202959	0.2509276182785603	87.67157665878767	52.0	20.242339314537382	20	36.36363636363637	7190414.0
CO2_1_g0_r2_T1	100.0	6241998	0.27713546486570895	87.23459522789696	52.0	20.27896086007461	20	36.36363636363637	8697385.0
CO2_1_g0_r3_T1	100.0	7755722	0.277275044135678	87.54109360898101	52.0	20.27561985383388	20	36.36363636363637	10782663.0
CO2_1_g10_r1_T1	100.0	6901231	0.2525992107093487	87.61883885626295	51.0	20.337601593208074	20	36.36363636363637	9868893.0
CO2_1_g10_r2_T1	100.0	6826965	0.25318681078167454	87.54756695425101	51.0	20.335796525373834	20	36.36363636363637	9761453.0
CO2_1_g10_r3_T1	100.0	9038455	0.23208582006802478	88.49502940006344	51.0	20.321428432343094	20	36.36363636363637	12838970.0
CO2_1_g4_r1_T1	100.0	9362857	0.253371023379915	88.21040431197278	51.0	20.28190316216639	20	36.36363636363637	13168820.0
CO2_1_g4_r2_T1	100.0	7295727	0.23869601253617553	88.35280664199115	52.0	20.28039519374806	20	36.36363636363637	10230425.0
CO2_1_g4_r3_T1	100.0	6865687	0.270787141218113	86.95862581713288	51.0	20.330571351782087	20	36.36363636363637	9759539.0
CO2_1_g8_r1_T1	100.0	5976986	0.24133296267651078	87.86721130016711	51.0	20.30967425842924	20	36.36363636363637	8470365.0
CO2_1_g8_r2_T1	100.0	7744546	0.24570931540866012	87.88037623777055	51.0	20.313026697437213	20	36.36363636363637	10976297.0
CO2_1_g8_r3_T1	100.0	6883069	0.23025959448990002	88.2402909590336	51.0	20.294559640990826	20	36.36363636363637	9728108.0
CO2_30_g0_r1_T1	100.0	3221976	0.6005581454411038	88.24391295783144	50.0	20.566692777363592	18	45.45454545454545	4022617.0
CO2_30_g0_r2_T1	100.0	2810382	0.3942884565960517	89.2076620436225	51.0	19.976418882141	18	45.45454545454545	3455731.0
CO2_30_g0_r3_T1	100.0	2954983	0.5034125478718532	88.34090537600659	51.0	20.11547870482347	18	45.45454545454545	3655687.0
CO2_30_g10_r1_T1	100.0	3399832	0.884741046283072	89.51689138742574	51.0	20.057738060381077	18	45.45454545454545	4217911.0
CO2_30_g10_r2_T1	100.0	3003631	0.7174544885566873	89.93937570929927	51.0	19.85437545694919	18	45.45454545454545	3691603.0
CO2_30_g10_r3_T1	100.0	3248234	0.38791096193500013	89.39062352911094	51.0	20.022459848952984	18	45.45454545454545	4026296.0
CO2_30_g4_r1_T1	100.0	2231779	0.8521957870278686	87.8727174979467	51.0	20.07783403238398	18	45.45454545454545	2763033.0
CO2_30_g4_r2_T1	100.0	2497417	0.9068408358930123	88.55860152224803	51.0	19.962226602774013	18	45.45454545454545	3084340.0
CO2_30_g4_r3_T1	100.0	3211760	0.9086994226516216	89.1729282270788	51.0	20.010957220795923	18	45.45454545454545	3974548.0
CO2_30_g8_r1_T1	100.0	2793618	0.5147508216886174	88.55309745217501	51.0	20.07828460545793	18	45.45454545454545	3477031.0
CO2_30_g8_r2_T1	100.0	2287101	0.7586862484181964	88.11411518449654	51.0	20.090020526196575	18	45.45454545454545	2843196.0
