Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CO2_4_g0_r1_T1	CO2_4_g0_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	2449119.0	0.0	0-100	52.0	11.889531045587047	19.873367525220292	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g0_r2_T1	CO2_4_g0_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	2855912.0	0.0	0-100	51.0	12.356359862297946	20.222244242819805	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g0_r3_T1	CO2_4_g0_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3717687.0	0.0	0-100	51.0	10.515051123762758	19.960239794259174	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g0_r4_T1	CO2_4_g0_r4_T1.gz	Conventional base calls	Sanger / Illumina 1.9	2713177.0	0.0	0-100	51.0	12.467168592955302	20.141270547406233	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g10_r1_T1	CO2_4_g10_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3738467.0	0.0	0-100	50.0	11.393512668040854	20.108260952952104	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g10_r2_T1	CO2_4_g10_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3483465.0	0.0	0-100	51.0	11.713014342349155	20.05947583799464	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g10_r3_T1	CO2_4_g10_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3597007.0	0.0	0-100	51.0	10.953867869610749	19.94886470890938	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g10_r4_T1	CO2_4_g10_r4_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3365232.0	0.0	0-100	51.0	11.0896511046963	19.866107299585885	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g4_r1_T1	CO2_4_g4_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3471801.0	0.0	0-100	51.0	11.635124930189061	20.066405879830093	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g4_r2_T1	CO2_4_g4_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	4752618.0	0.0	0-100	51.0	10.242549172551902	19.957651130387504	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g4_r3_T1	CO2_4_g4_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	4173976.0	0.0	0-100	51.0	11.179302920955132	20.20537636057323	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g4_r4_T1	CO2_4_g4_r4_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3604796.0	0.0	0-100	51.0	11.743244933085158	20.091939738060073	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g8_r1_T1	CO2_4_g8_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3856741.0	0.0	0-100	51.0	10.093262828580986	19.773805396836345	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g8_r2_T1	CO2_4_g8_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3812905.0	0.0	0-100	51.0	10.967331000450532	19.97372921696187	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g8_r3_T1	CO2_4_g8_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	4062741.0	0.0	0-100	51.0	11.050680036254375	20.153056766355522	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g8_r4_T1	CO2_4_g8_r4_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3433013.0	0.0	0-100	51.0	10.913586457605327	19.864826611492585	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g0_r1_T1	CO2_amb_g0_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	9745389.0	0.0	0-51	52.0	11.408452658687745	20.24768410989033	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g0_r2_T1	CO2_amb_g0_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	9858858.0	0.0	0-51	51.0	13.047396892116614	20.29747218186934	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g0_r3_T1	CO2_amb_g0_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	8269757.0	0.0	0-51	52.0	12.222329077262065	20.258250635417703	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g10_r1_T1	CO2_amb_g10_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	11327827.0	0.0	0-51	51.0	13.003311361590095	20.323327148269478	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g10_r2_T1	CO2_amb_g10_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	10130873.0	0.0	0-51	51.0	11.912158512516154	20.286233970162296	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g10_r3_T1	CO2_amb_g10_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	10204378.0	0.0	0-51	51.0	12.12942843688127	20.292880369582544	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g4_r1_T1	CO2_amb_g4_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	8376947.0	0.0	0-51	52.0	12.464929294608472	20.266169047028708	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g4_r2_T1	CO2_amb_g4_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	5513572.0	0.0	0-51	52.0	13.107273474684359	20.253989609639632	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g4_r3_T1	CO2_amb_g4_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	6265974.0	0.0	0-51	52.0	13.535564509309822	20.289381347576608	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g8_r1_T1	CO2_amb_g8_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	6512394.0	0.0	0-51	51.0	13.17572908855248	20.283140117136647	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g8_r2_T1	CO2_amb_g8_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	6519251.0	0.0	0-51	52.0	12.523271128126586	20.276323461084715	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_amb_g8_r3_T1	CO2_amb_g8_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	8965986.0	0.0	0-51	52.0	11.513021504874922	20.240172358065248	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
