CO2_30_g0_r1_T1	1.0	6.0	64.0	209.0	677.0	1565.0	5262.0	10437.0	29664.0	51357.0	67399.0	67813.0	60091.0	56035.0	50252.0	53133.0	55444.0	58918.0	72684.0	107790.0	356308.0	756597.0	2160832.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_30_g0_r2_T1	3.0	3.0	38.0	133.0	418.0	1053.0	3497.0	6744.0	18201.0	31627.0	44712.0	50051.0	48241.0	47263.0	43033.0	46318.0	48056.0	50890.0	62293.0	91639.0	305375.0	666035.0	1890082.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_30_g0_r3_T1	2.0	5.0	60.0	187.0	601.0	1430.0	4486.0	8312.0	22062.0	37675.0	52162.0	57109.0	54434.0	51560.0	46990.0	49467.0	51358.0	54630.0	66562.0	98781.0	331083.0	704070.0	1962604.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_30_g10_r1_T1	3.0	5.0	38.0	200.0	640.0	1558.0	4821.0	8946.0	24025.0	41098.0	56981.0	63465.0	61903.0	59322.0	53770.0	57415.0	60726.0	63648.0	78349.0	116105.0	388034.0	820859.0	2255953.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_30_g10_r2_T1	2.0	2.0	27.0	96.0	387.0	942.0	2969.0	5773.0	16050.0	28397.0	41195.0	48313.0	49169.0	49165.0	45338.0	49133.0	51971.0	55574.0	68719.0	102856.0	346235.0	746445.0	1982825.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_30_g10_r3_T1	2.0	7.0	40.0	183.0	585.0	1413.0	4541.0	8634.0	23003.0	39111.0	53370.0	59542.0	58028.0	56253.0	51329.0	54582.0	57436.0	60020.0	73862.0	109184.0	364750.0	774898.0	2175478.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_30_g4_r1_T1	1.0	9.0	45.0	124.0	400.0	1012.0	3164.0	5906.0	16097.0	27458.0	37502.0	41280.0	39540.0	38435.0	34755.0	36816.0	39169.0	41009.0	51000.0	74889.0	249422.0	531424.0	1493549.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_30_g4_r2_T1	1.0	5.0	45.0	132.0	395.0	1006.0	3265.0	6180.0	16962.0	28773.0	39533.0	43218.0	42211.0	41613.0	38152.0	40989.0	43107.0	45363.0	55237.0	80249.0	269208.0	583737.0	1704919.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_30_g4_r3_T1	4.0	3.0	43.0	144.0	538.0	1402.0	4429.0	8361.0	22557.0	38583.0	52615.0	57650.0	56633.0	54723.0	49430.0	53295.0	55886.0	59112.0	72581.0	105730.0	352091.0	752436.0	2176254.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_30_g8_r1_T1	1.0	2.0	44.0	138.0	542.0	1251.0	3936.0	7406.0	19856.0	34545.0	48309.0	53283.0	51191.0	49387.0	44371.0	47273.0	49180.0	52048.0	63452.0	92940.0	313774.0	674300.0	1869761.0
	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_30_g8_r2_T1	3.0	34.0	134.0	421.0	1035.0	3311.0	6236.0	16815.0	28566.0	38690.0	42169.0	40304.0	39337.0	35717.0	37943.0	40271.0	41850.0	52140.0	77507.0	259817.0	549377.0	1531468.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_30_g8_r3_T1	1.0	4.0	32.0	131.0	482.0	1049.0	3353.0	6215.0	16556.0	28389.0	39718.0	44698.0	43381.0	42794.0	38704.0	41107.0	42753.0	44995.0	54769.0	78746.0	264046.0	577827.0	1686664.0
	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g0_r1_T1	2.0	23.0	82.0	329.0	780.0	2603.0	4585.0	12564.0	21489.0	29769.0	32923.0	32665.0	32501.0	29917.0	31921.0	33546.0	35504.0	43410.0	64529.0	216506.0	470794.0	1352641.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g0_r2_T1	2.0	4.0	38.0	127.0	430.0	1036.0	3378.0	6434.0	17781.0	30039.0	41169.0	43884.0	41275.0	39461.0	35760.0	38296.0	40215.0	42562.0	52583.0	76747.0	255174.0	544546.0	1544938.0
	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g0_r3_T1	5.0	32.0	114.0	384.0	948.0	3003.0	5942.0	17049.0	30452.0	42975.0	48413.0	47095.0	46431.0	43399.0	47168.0	50219.0	54246.0	67017.0	100491.0	338671.0	744874.0	2028718.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g0_r4_T1	1.0	6.0	33.0	114.0	416.0	991.0	3187.0	6246.0	17136.0	28431.0	38651.0	41508.0	39017.0	37680.0	34017.0	36157.0	37951.0	39730.0	49010.0	72196.0	239125.0	509462.0	1482084.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g10_r1_T1	5.0	3.0	58.0	162.0	680.0	1441.0	4832.0	9137.0	23634.0	40253.0	53663.0	57746.0	55250.0	52555.0	47425.0	50519.0	52586.0	54797.0	67929.0	100246.0	337157.0	712374.0	2015952.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g10_r2_T1	3.0	4.0	57.0	190.0	599.0	1463.0	4495.0	8406.0	22022.0	36300.0	49436.0	53774.0	51410.0	49014.0	44485.0	46829.0	49350.0	51673.0	63591.0	93866.0	314070.0	661310.0	1881062.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g10_r3_T1	1.0	5.0	37.0	130.0	444.0	1115.0	3744.0	6891.0	18880.0	33168.0	45574.0	51058.0	49550.0	48981.0	44422.0	47758.0	50808.0	52978.0	65686.0	96925.0	326784.0	695515.0	1956518.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g10_r4_T1	4.0	7.0	27.0	136.0	426.0	1060.0	3404.0	6487.0	17463.0	30025.0	41899.0	47147.0	46345.0	46248.0	42392.0	45344.0	47512.0	49853.0	61760.0	90480.0	307068.0	653125.0	1826958.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g4_r1_T1	1.0	5.0	51.0	179.0	558.0	1281.0	4205.0	7914.0	21018.0	35135.0	47215.0	51640.0	49155.0	47455.0	43394.0	46282.0	48163.0	51312.0	64371.0	96078.0	322357.0	672256.0	1861727.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g4_r2_T1	3.0	12.0	82.0	192.0	715.0	1770.0	5566.0	10218.0	27458.0	46132.0	63556.0	70303.0	67804.0	65805.0	59951.0	63357.0	66594.0	69681.0	85454.0	122798.0	411715.0	891967.0	2621408.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g4_r3_T1	3.0	10.0	56.0	234.0	747.0	1751.0	5437.0	10624.0	27674.0	46317.0	61643.0	65955.0	61866.0	58602.0	52906.0	55810.0	58774.0	61668.0	76570.0	112961.0	378853.0	794397.0	2241050.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g4_r4_T1	1.0	7.0	58.0	214.0	654.0	1516.0	4929.0	8887.0	23403.0	38783.0	51743.0	55973.0	53040.0	50765.0	45984.0	48284.0	50602.0	52920.0	65585.0	97389.0	325878.0	684231.0	1943898.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g8_r1_T1	1.0	1.0	24.0	112.0	375.0	885.0	3022.0	5511.0	16127.0	28464.0	41103.0	47871.0	48119.0	48586.0	45757.0	49638.0	52996.0	56629.0	70602.0	103789.0	352721.0	767877.0	2116499.0
	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g8_r2_T1	7.0	47.0	159.0	524.0	1248.0	4197.0	7872.0	21767.0	36673.0	49750.0	54622.0	53012.0	52337.0	47502.0	50986.0	53701.0	56524.0	68426.0	100442.0	337518.0	716814.0	2098733.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g8_r3_T1	1.0	10.0	36.0	153.0	592.0	1430.0	4635.0	9051.0	24604.0	42394.0	58036.0	61804.0	58588.0	56276.0	51401.0	54971.0	57344.0	60404.0	74296.0	108873.0	362944.0	768413.0	2206421.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_4_g8_r4_T1	2.0	4.0	45.0	128.0	419.0	972.0	3241.0	6118.0	16547.0	28981.0	41477.0	46673.0	46561.0	46294.0	42560.0	46000.0	48396.0	49961.0	62377.0	90459.0	304707.0	662429.0	1888619.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g0_r1_T1	5.0	15.0	142.0	449.0	1527.0	3996.0	11271.0	19396.0	42133.0	63130.0	92430.0	119656.0	138296.0	140340.0	145304.0	147555.0	159675.0	174379.0	230049.0	354875.0	1062105.0	1817194.0	5020867.0
	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
CO2_amb_g0_r2_T1	8.0	40.0	204.0	741.0	2378.0	5927.0	16454.0	27236.0	58373.0	84865.0	119380.0	147216.0	161372.0	155350.0	155698.0	152359.0	162409.0	174226.0	230649.0	355832.0	1060301.0	1817197.0	4969624.0
